SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
28523,1,뮤지컬시카고,문화공연,뮤지컬,라이선스,82,1427,1509,20230625
28524,2,뮤지컬시카고,문화공연,뮤지컬,라이선스,82,1427,1509,20230625
28525,3,뮤지컬모차르트,문화공연,뮤지컬,라이선스,83,954,1037,20230625
28526,4,뮤지컬영웅,문화공연,뮤지컬,창작,60,875,935,20230625
28527,5,뮤지컬빨래,문화공연,뮤지컬,창작,56,857,913,20230625
28528,6,뮤지컬그날들,문화공연,뮤지컬,창작,33,452,485,20230625
28529,7,뮤지컬그날들,문화공연,뮤지컬,창작,33,452,485,20230625
28530,8,뮤지컬그날들,문화공연,뮤지컬,창작,33,452,485,20230625
28531,9,뮤지컬레베카,문화공연,뮤지컬,창작,49,238,287,20230625
28532,10,뮤지컬맘마미아,문화공연,뮤지컬,창작,25,246,271,20230625
